CODE,NAME,YEAR,SERIES,VALUE
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),191615574
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.929
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),2.9686
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.8888
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),220781909
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.1736
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2517
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.0941
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),248861296
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.3722
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4634
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.2794
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),15097633
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)",2343919
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),40518150
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),57959702
1,"Total, all countries or areas",2019,International migrant stock: Both sexes (number),271642105
1,"Total, all countries or areas",2019,International migrant stock: Both sexes (% total population),3.5217
1,"Total, all countries or areas",2019,International migrant stock: Male (% total Population),3.6381
1,"Total, all countries or areas",2019,International migrant stock: Female (% total Population),3.4032
1,"Total, all countries or areas",2019,Total refugees and people in refugee-like situations (number),20231932
1,"Total, all countries or areas",2019,"Asylum seekers, including pending cases (number)",3727291
1,"Total, all countries or areas",2019,Other of concern to UNHCR (number),55432149
1,"Total, all countries or areas",2019,Total population of concern to UNHCR (number),79391372
2,Africa,2005,International migrant stock: Both sexes (number),15969835
2,Africa,2005,International migrant stock: Both sexes (% total population),1.7431
2,Africa,2005,International migrant stock: Male (% total Population),1.8979
2,Africa,2005,International migrant stock: Female (% total Population),1.5894
2,Africa,2010,International migrant stock: Both sexes (number),17804198
2,Africa,2010,International migrant stock: Both sexes (% total population),1.7131
2,Africa,2010,International migrant stock: Male (% total Population),1.8412
